Description...,Accession,Gene_id,BT_1,BT_2,BT_3,BT_4,BT_5,BT_6,BT_7,BT_8,BT_9,BT_10,BT_11,BT_12,BT_13,BT_14,CJK_1,CJK_2,CJK_3,CJK_4,CJK_5,CJK_6,CJK_7,CJK_8,CJK_9,CJK_10,CJK_11,CJK_12,CJK_13,CJK_14,CJK_16,CJK_17,CJK_18,CJK_19,CJK_20
NADH dehydrogenase [ubiquinone] iron-sulfur protein 3  mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS3 PE=1 SV=1;;;,O75489|NDUS3_HUMAN,ATP5PF,4499000,3687000,3984800,8153400,3918600,9130400,2074600,3524000,4174000,1506200,3637800,3287800,2834600,5804600,3898700,1729500,20248000,8692100,4119600,13701000,3370600,2864400,6065300,3147700,13303000,10227000,2286700,5317700,4219600,971020,5637000,NA,3429800
Protein phosphatase 1 regulatory subunit 14B OS=Homo sapiens OX=9606 GN=PPP1R14B PE=1 SV=3;,Q96C90|PP14B_HUMAN,RAB5A,36279000,14774000,47886000,23600000,36937000,26800000,33371000,20567000,32609000,39439000,32141000,15372000,35544000,23516000,NA,814650,15405000,2024300,2340100,5558200,9778700,1874400,15608000,12599000,30473000,9991000,6217800,4679100,2010500,9806600,2035000,3312600,3187900
Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,Q86TX2|ACOT1_HUMAN,ROCK2,NA,1220400,NA,NA,1022800,1412300,NA,NA,NA,NA,NA,NA,382820,1803100,6565000,0,2575600,NA,5438200,3868700,NA,NA,0,1584900,NA,NA,NA,NA,NA,NA,253100,NA,159400
Exocyst complex component 6B OS=Homo sapiens OX=9606 GN=EXOC6B PE=1 SV=3;,Q9Y2D4|EXC6B_HUMAN,ARL1,964080,NA,3347300,13440000,75328000,7711600,517320,550770,0,3747100,233790,4597800,2915000,1476100,14713000,9331000,18441000,2273800,9557200,40651000,11391000,2261600,NA,9878700,14136000,9013600,3224000,5300500,456950,3801400,0,4478900,NA
ATPase family AAA domain-containing protein 3A OS=Homo sapiens OX=9606 GN=ATAD3A PE=1 SV=2;,Q9NVI7|ATD3A_HUMAN,NAGLU,9291000,3806500,11401000,8502800,13155000,10585000,8365100,7037400,5818400,4322700,7099100,6663800,7064000,11301000,13636000,1502900,25745000,2377800,17425000,9666000,717990,555400,9336700,7903000,24509000,6102100,NA,19113000,1591900,8754400,19097000,4786900,9060700
DDRGK domain-containing protein 1 OS=Homo sapiens OX=9606 GN=DDRGK1 PE=1 SV=2;;;,Q96HY6|DDRGK_HUMAN,VBP1,1502200,0,1897200,2564900,968750,2398400,2927200,738790,1485500,0,2155500,NA,1042900,1396900,7082800,NA,12108000,2987500,1882900,15485000,7216100,701160,5063300,3931800,54906000,3403000,3804600,6133900,2090000,3661000,4604200,1059500,0
Ragulator complex protein LAMTOR1 OS=Homo sapiens OX=9606 GN=LAMTOR1 PE=1 SV=2;;;,Q6IAA8|LTOR1_HUMAN,TOMM40,NA,754190,NA,0,262580,1668000,1401300,258100,584570,NA,NA,602510,400770,NA,20153000,3167400,50678000,12843000,29148000,10993000,26405000,7288300,45310000,15448000,57153000,13164000,3313800,29148000,12156000,17164000,26028000,917550,5556800
Sterol-4-alpha-carboxylate 3-dehydrogenase  decarboxylating OS=Homo sapiens OX=9606 GN=NSDHL PE=1 SV=2,Q15738|NSDHL_HUMAN,UBE2V2,1951400,NA,1890400,4824100,634850,5210000,0,7117200,1065000,808920,3476300,2200400,1640400,821810,1284000,772750,NA,4054800,NA,17766000,NA,33739,NA,316880,NA,1857600,NA,10897000,3860700,489760,7044900,NA,4740800
Serine/threonine-protein kinase MRCK beta OS=Homo sapiens OX=9606 GN=CDC42BPB PE=1 SV=2;,Q9Y5S2|MRCKB_HUMAN,EIF3G,1635500,NA,1891200,29871000,20477000,1021900,9940200,833260,338530,2132000,25856000,21637000,24374000,1962300,7493800,NA,15801000,897720,6855300,10070000,1311600,1090000,3435300,14917000,5094400,3588300,4755300,769260,8157600,0,8766900,1565800,3236400
Synembryn-A OS=Homo sapiens OX=9606 GN=RIC8A PE=1 SV=3,Q9NPQ8|RIC8A_HUMAN,PSMD8,1732500,530860,6195100,0,2456200,3174900,2957400,418880,1305500,708620,2180900,1079800,1394900,725500,8944800,382010,21092000,0,11064000,2168300,10339000,NA,6269400,5689600,12719000,716220,8490500,884680,3496300,4766000,2629800,5638600,1965400
39S ribosomal protein L12  mitochondrial OS=Homo sapiens OX=9606 GN=MRPL12 PE=1 SV=2;,P52815|RM12_HUMAN,EML4,25702000,13180000,48706000,26754000,25971000,28986000,22634000,15948000,14970000,10693000,28160000,15846000,11794000,16969000,6755300,6224700,47696000,13663000,7308500,27188000,13804000,0,9268500,12360000,10724000,13221000,7234000,31972000,26995000,3060200,10177000,12217000,13697000
Syntaxin-12 OS=Homo sapiens OX=9606 GN=STX12 PE=1 SV=1;,Q86Y82|STX12_HUMAN,UACA,2717900,NA,3639900,2807900,1437600,1650900,1802500,819220,1646600,NA,2841500,1952800,1848100,840250,15912000,987830,36871000,3354800,16860000,6324300,11546000,12219000,71571000,15135000,28922000,8235000,11717000,8858600,13129000,3278300,2998700,1327200,2095200
60S ribosomal protein L27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2;;,P61353|RL27_HUMAN,PSMA6,26137000,27058000,49575000,39132000,39973000,41626000,15659000,25649000,15131000,8210500,17847000,23928000,22194000,20869000,40264000,7061800,124420000,24056000,82422000,21878000,66858000,8262700,156860000,58234000,159960000,24886000,23434000,53136000,100130000,42615000,41684000,18162000,37919000
Optineurin OS=Homo sapiens OX=9606 GN=OPTN PE=1 SV=3;;,Q96CV9|OPTN_HUMAN,PPP2R2A,3035900,1173700,5529700,645440,3732900,2109200,5652800,NA,5450200,1174800,8047900,1481500,2447000,557540,22434000,890840,28167000,1743600,1537600,4820100,9974800,1091000,21222000,3844500,24332000,2803600,11609000,2792000,2796600,5624100,4303500,2730000,1609700
Aflatoxin B1 aldehyde reductase member 2 OS=Homo sapiens OX=9606 GN=AKR7A2 PE=1 SV=3;,O43488|ARK72_HUMAN,HM13,4761600,1195900,7987000,5953800,6899500,7548200,2937000,4168200,3015100,5005900,2260000,2453000,5369500,4699000,33099000,9705500,58547000,36390000,25531000,37733000,26402000,5524500,23867000,34190000,36994000,17085000,7624500,33618000,23587000,21807000,41563000,12326000,21576000
Fibrillin-1 OS=Homo sapiens OX=9606 GN=FBN1 PE=1 SV=4;;,P35555|FBN1_HUMAN,GMPPA,5451600,487290,10882000,1914700,2782600,5435000,16022000,11435000,6901900,1955000,8126500,918280,5863900,1522300,40858000,3023900,39447000,21675000,25284000,27357000,24379000,9116800,21177000,17992000,18687000,45261000,5956200,8750000,15162000,19761000,9730800,36919000,22332000
Ethylmalonyl-CoA decarboxylase OS=Homo sapiens OX=9606 GN=ECHDC1 PE=1 SV=2;;,Q9NTX5|ECHD1_HUMAN,RPS19,NA,0,520510,NA,2051400,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1736500,10534000,5781200,1396000,6740200,4363300,NA,3973700,1748500,12807000,3604800,909080,8298500,2094000,0,0,NA,0
Protein diaphanous homolog 2 OS=Homo sapiens OX=9606 GN=DIAPH2 PE=1 SV=1;,O60879|DIAP2_HUMAN,NOP56,NA,685070,NA,NA,NA,4991000,825010,917260,NA,2277800,628670,477580,NA,163600,0,829470,NA,5189400,NA,2932600,2420400,2331600,NA,0,10118000,5791600,3994300,20764000,20075000,11094000,9939200,NA,3615100
Lanosterol 14-alpha demethylase OS=Homo sapiens OX=9606 GN=CYP51A1 PE=1 SV=3;,Q16850|CP51A_HUMAN,DYNLT1,NA,NA,87292,298110,825300,632610,NA,NA,NA,NA,NA,NA,NA,662660,4242300,0,4497800,5786700,4416600,2758100,8593600,NA,8914400,9781200,3239900,519420,10297000,22987000,23531000,3109000,5236800,1569700,385280
40S ribosomal protein S10 OS=Homo sapiens OX=9606 GN=RPS10 PE=1 SV=1;;;,P46783|RS10_HUMAN,NDUFS3,31721000,16205000,40361000,31513000,32722000,25162000,34619000,31430000,25924000,29188000,26214000,16569000,28546000,26615000,12846000,7074700,41690000,6696700,27127000,18139000,51067000,6214700,39917000,7250100,44203000,17200000,23969000,86346000,28667000,8026400,10761000,39566000,35759000
KH domain-containing  RNA-binding  signal transduction-associated protein 1 OS=Homo sapiens OX=9606 GN=KHDRBS1 PE=1 SV=1;,Q07666|KHDR1_HUMAN,PPP1R14B,54356000,13454000,63778000,28767000,49265000,43756000,48752000,23743000,44782000,14399000,39348000,25907000,26272000,16047000,23666000,4909800,47160000,6903900,30379000,33472000,41259000,10175000,70394000,31236000,83697000,21462000,30493000,32713000,24645000,20171000,22936000,5889800,17698000
V-type proton ATPase subunit C 1 OS=Homo sapiens OX=9606 GN=ATP6V1C1 PE=1 SV=4;;,P21283|VATC1_HUMAN,ACOT1,NA,NA,801250,NA,NA,NA,2190000,898490,2289000,NA,2622400,432290,754270,NA,791300,931360,2433900,1606700,3091900,4710500,1243200,545110,4461200,5295800,3473900,3271200,5020400,0,9610000,2448500,6725100,1003500,996720
Vacuolar protein sorting-associated protein 4B OS=Homo sapiens OX=9606 GN=VPS4B PE=1 SV=2;;,O75351|VPS4B_HUMAN,EXOC6B,1048800,0,NA,2942200,NA,NA,488380,NA,NA,NA,NA,NA,NA,NA,4783000,4968600,12296000,8631200,4148300,6622000,3458800,1914500,10633000,8088800,3138400,7792500,3471900,6780700,2526700,7297100,7929900,4838500,4278100
Importin subunit alpha-5 OS=Homo sapiens OX=9606 GN=KPNA1 PE=1 SV=3,P52294|IMA5_HUMAN,ATAD3A,4089000,1847800,7423800,3964300,4986600,5307300,5219600,2859900,3088500,2114800,4945900,1622100,2809100,3670300,3548200,8598300,27167000,11946000,3955800,21942000,6292400,943100,5727100,7968000,637180,7192900,12141000,17520000,8913900,9998500,5160200,9455800,NA
60S acidic ribosomal protein P1 OS=Homo sapiens OX=9606 GN=RPLP1 PE=1 SV=1;,P05386|RLA1_HUMAN,DDRGK1,121350000,113730000,108010000,121900000,109300000,110070000,115220000,103200000,93554000,53066000,92609000,87380000,110900000,111770000,12440000,561850,0,3596500,0,22684000,0,24639000,0,0,1148300,1999500,1201200,0,NA,6260300,19153000,93564000,73307000
Synaptopodin-2 OS=Homo sapiens OX=9606 GN=SYNPO2 PE=1 SV=2;,Q9UMS6|SYNP2_HUMAN,LAMTOR1,3187700,NA,4024300,0,676260,854860,492780,477080,3876800,943100,NA,1169800,2339100,NA,1684500,NA,695060,NA,19355000,1485700,20829000,NA,25474000,21051000,11233000,2025300,3089300,10833000,10497000,11815000,15494000,3750000,NA
Ras-related protein Rab-18 OS=Homo sapiens OX=9606 GN=RAB18 PE=1 SV=1;;,Q9NP72|RAB18_HUMAN,NSDHL,3658000,NA,8687700,5559800,2972800,3346700,5178800,6004000,5514100,2536400,3283900,2707300,4060200,3042600,8754600,2470700,21496000,3769100,8920900,4160000,32065000,4054700,6736200,834410,20848000,2442700,3434300,1826200,NA,3107300,NA,3088600,14397000
Collagen alpha-2(V) chain OS=Homo sapiens OX=9606 GN=COL5A2 PE=1 SV=3;,P05997|CO5A2_HUMAN,CDC42BPB,5651700,8691000,6697800,692610,10598000,8376400,1274000,1520300,574940,34350000,557530,1779900,1620800,NA,7418300,65906,9401600,1806500,8168000,0,11170000,388100,17618000,15427000,10769000,14636000,11170000,NA,52987,4239800,773280,3279400,2175800
60S ribosomal protein L19 OS=Homo sapiens OX=9606 GN=RPL19 PE=1 SV=1;,P84098|RL19_HUMAN,RIC8A,27615000,19612000,36129000,26776000,31872000,38621000,34963000,24316000,27877000,15758000,40838000,17316000,18601000,21941000,33909000,2113100,76162000,18292000,43828000,33902000,78526000,20227000,96268000,62811000,137680000,16451000,55646000,58629000,44186000,29789000,31327000,13883000,29941000
"'""5''-AMP-activated protein kinase subunit gamma-1 OS=Homo sapiens OX=9606 GN=PRKAG1 PE=1 SV=1",P54619|AAKG1_HUMAN,,NA,NA,NA,NA,NA,NA,NA,2150800,NA,NA,NA,NA,NA,30969,14713000,5957100,95867000,9707400,10262000,13638000,101730000,NA,1900500,17165000,106080000,7135000,32003000,9984400,10763000,4871300,13652000,6955900,467610
Adhesion G protein-coupled receptor E5 OS=Homo sapiens OX=9606 GN=ADGRE5 PE=1 SV=4,P48960|AGRE5_HUMAN,RPL27,3156700,433530,1427500,1971000,2006900,4305600,1980600,2602400,1641300,1665500,793140,1095600,755770,4370900,8946100,823780,8989100,1639900,5197700,10301000,1206000,2039200,1440100,537050,4138700,4661900,NA,NA,NA,1271300,1150400,NA,98201000
Sorcin OS=Homo sapiens OX=9606 GN=SRI PE=1 SV=1;,P30626|SORCN_HUMAN,OPTN,19516000,30311000,30213000,28686000,29742000,29178000,14779000,17815000,18705000,21704000,12958000,14280000,10337000,17878000,30486000,690090,43910000,9953900,32748000,30673000,40295000,5993600,38063000,44837000,74464000,24617000,27563000,37380000,36283000,9706000,19185000,7123400,7112800
Lipoma-preferred partner OS=Homo sapiens OX=9606 GN=LPP PE=1 SV=1;,Q93052|LPP_HUMAN,AKR7A2,12937000,1131800,6819800,13541000,11891000,8721900,343480,541750,12714000,707750,0,0,0,7120900,44040000,1300400,51351000,14400000,36274000,11117000,44095000,2622400,34083000,28061000,54338000,38155000,10576000,37952000,17160000,10624000,19230000,6700500,8975300
DnaJ homolog subfamily A member 2 OS=Homo sapiens OX=9606 GN=DNAJA2 PE=1 SV=1;,O60884|DNJA2_HUMAN,FBN1,16575000,0,21367000,12120000,18249000,11740000,1830400,9464200,13325000,NA,16357000,5734000,8936800,8192900,5593700,274170,9894100,273410,4940700,416890,6008000,NA,4377600,7087800,689560,504480,2553900,7097800,4656600,4409300,NA,144340,1751200
Adenylate kinase 4  mitochondrial OS=Homo sapiens OX=9606 GN=AK4 PE=1 SV=1;;,P27144|KAD4_HUMAN,ECHDC1,6433900,6741200,12784000,16267000,7017000,20517000,23616000,14274000,7822400,6089100,14149000,8325900,16321000,2124700,26433000,5205200,30090000,9384700,24237000,28190000,33540000,9792700,49745000,32133000,43129000,20779000,14537000,22831000,33347000,15868000,29678000,15557000,21356000
Thy-1 membrane glycoprotein OS=Homo sapiens OX=9606 GN=THY1 PE=1 SV=2;;;,P04216|THY1_HUMAN,DIAPH2,17179000,18366000,18693000,18691000,20280000,25630000,32413000,27978000,15593000,6807500,12301000,12068000,7312300,11737000,113380000,14823000,365280000,172520000,234100000,431830000,173000000,131060000,318050000,288520000,258860000,269430000,100170000,126130000,177000000,116680000,237050000,69709000,176820000
Splicing factor 3A subunit 1 OS=Homo sapiens OX=9606 GN=SF3A1 PE=1 SV=1;;;,Q15459|SF3A1_HUMAN,CYP51A1,NA,796400,22732000,505130,1485000,1547600,NA,NA,NA,NA,0,NA,NA,NA,6815300,NA,7805100,5848200,3999000,7777800,6371800,574720,11994000,2753600,24906000,9860900,7718300,7458800,4040900,1052000,6766300,2891100,5481300
Acyl-CoA-binding protein OS=Homo sapiens OX=9606 GN=DBI PE=1 SV=2;;,P07108|ACBP_HUMAN,RPS10,3145500,1660100,10654000,3395000,4985800,7928600,17080000,4712100,6290500,2490300,6465400,2301400,3053300,2415200,10932000,2547700,100010000,29835000,9598800,64308000,58400000,11067000,78168000,86160000,46639000,73852000,22975000,76377000,37710000,11170000,48907000,6770800,26966000
Nascent polypeptide-associated complex subunit alpha  muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1;;,E9PAV3|NACAM_HUMAN,KHDRBS1,35122000,15416000,62460000,40782000,43789000,59696000,47759000,25933000,45054000,24351000,54361000,20784000,35238000,31606000,38755000,3832500,118200000,11484000,75249000,34949000,81999000,30289000,104130000,30472000,133250000,13758000,38844000,67030000,50334000,24035000,40436000,7184100,12747000
Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1;;,Q13765|NACA_HUMAN,ATP6V1C1,35122000,15416000,62460000,40782000,43789000,42802000,47759000,25933000,37598000,24351000,54361000,20548000,35238000,30579000,38755000,3832500,117060000,11484000,74235000,34949000,81999000,30289000,104130000,30472000,132770000,13758000,38844000,67030000,50334000,24035000,36065000,7184100,12747000
Glia maturation factor beta OS=Homo sapiens OX=9606 GN=GMFB PE=1 SV=2,P60983|GMFB_HUMAN,VPS4B,11382000,9921800,14852000,17281000,12330000,13679000,16450000,9375600,15017000,43577000,13505000,9205300,7354500,7569700,8934000,2114200,20053000,4793400,9101600,7647100,7574500,4047200,32344000,25805000,21853000,6808300,8351800,12207000,11014000,7282000,12243000,1749600,2855200
Eukaryotic translation initiation factor 3 subunit J OS=Homo sapiens OX=9606 GN=EIF3J PE=1 SV=2;;,O75822|EIF3J_HUMAN,KPNA1,4443300,1562000,4731800,5406100,4767500,6287400,4602200,1652800,4641000,2357800,3667500,1353300,4151400,1294500,1980500,NA,5955400,890300,1446900,469030,3058700,NA,6724500,2609200,12569000,1378900,1603300,4052600,854000,972130,1070300,NA,867780
Ras-related protein Rab-35 OS=Homo sapiens OX=9606 GN=RAB35 PE=1 SV=1;;;,Q15286|RAB35_HUMAN,RPLP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520220,NA,1302000,NA,NA,NA,1122700,NA,1555700,1692800,NA,907510,574020,1295400,258940,2828600
Thioredoxin domain-containing protein 12 OS=Homo sapiens OX=9606 GN=TXNDC12 PE=1 SV=1;;;,O95881|TXD12_HUMAN,SYNPO2,6968700,9570000,8741700,6656600,7763100,13259000,11332000,9283200,8564200,7468100,8475500,5128800,1838800,5471800,9811300,2599700,20268000,14260000,12025000,30965000,21351000,19105000,22805000,12228000,15459000,14529000,0,14800000,20352000,7343800,23030000,7956000,28194000
60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2;;,P46776|RL27A_HUMAN,RAB18,34478000,31941000,48131000,41727000,44521000,43076000,33514000,33501000,28366000,31735000,40393000,21741000,29391000,33864000,98710000,4829200,113230000,48179000,63746000,66903000,95740000,23971000,149510000,67449000,119130000,60468000,57828000,71507000,120990000,51547000,91030000,30529000,61118000
Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens OX=9606 GN=EIF3K PE=1 SV=1;,Q9UBQ5|EIF3K_HUMAN,COL5A2,5417100,3696000,3876200,3074500,4647000,4835200,7440000,3593200,4073600,4741600,6665000,2223200,4295600,2881700,6118300,1882400,23417000,10570000,7043500,32709000,12297000,3215100,34424000,32863000,10622000,4941200,16885000,32789000,16844000,9294300,15875000,10789000,8329600
Sulfotransferase 1A1 OS=Homo sapiens OX=9606 GN=SULT1A1 PE=1 SV=3,P50225|ST1A1_HUMAN,RPL19,NA,NA,2329100,1417600,0,837220,NA,NA,12325000,8537400,NA,NA,0,NA,19462000,2242900,21992000,3488000,49286000,18894000,23049000,0,12041000,3438900,71514000,7314900,13577000,11777000,2585400,0,3283300,NA,0
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10  mitochondrial OS=Homo sapiens OX=9606 GN=NDUFA10 PE=1 SV=1;,O95299|NDUAA_HUMAN,PRKAG1,2785500,805190,2784300,2626000,1274100,6207700,1777500,NA,2758200,NA,2753000,1720200,1296100,1108500,4994700,845410,7046000,2406300,469070,16650000,1004500,696480,3435200,6901400,662080,6091300,3126900,7526800,5662200,685730,2560100,NA,NA
Phosphoglucomutase-2 OS=Homo sapiens OX=9606 GN=PGM2 PE=1 SV=4;,Q96G03|PGM2_HUMAN,ENO2,2637700,0,6561700,3610100,2058300,7534600,1747200,4001400,NA,3578400,2719300,2191200,2012900,3281400,11476000,1990000,20509000,7953600,12470000,13415000,7324200,1168900,2818000,12066000,27418000,6565700,3777300,14888000,13908000,4148100,15131000,1684900,4622800
Coiled-coil domain-containing protein 80 OS=Homo sapiens OX=9606 GN=CCDC80 PE=1 SV=1,Q76M96|CCD80_HUMAN,ADGRE5,5046500,1240700,4742200,3194300,4743800,2226900,15363000,2235900,4754900,264810,6205300,1941700,3619600,1167900,10498000,NA,32341000,2662200,15323000,0,22018000,NA,8663900,0,9581600,224060,3385100,NA,NA,2490800,0,2731500,354380
Protein S100-A13 OS=Homo sapiens OX=9606 GN=S100A13 PE=1 SV=1;;,Q99584|S10AD_HUMAN,SRI,15864000,6726900,21337000,6389900,10285000,18858000,7991000,5885700,8359200,6466800,5798900,6337900,4151100,5867700,37236000,3142200,74797000,14458000,30249000,65901000,44565000,34550000,53512000,55249000,37844000,63233000,46458000,25446000,8046100,13082000,5789700,0,8907600
Glycogen [starch] synthase  muscle OS=Homo sapiens OX=9606 GN=GYS1 PE=1 SV=2;;,P13807|GYS1_HUMAN,LPP,1104400,942550,3742100,5883900,2520500,2982900,2959400,5966700,2599100,3716300,2637100,NA,2217500,3643300,5564000,192680,12947000,5699300,5116800,1744900,6211500,NA,12051000,23476000,5067900,0,4878100,48428000,22505000,5313800,33474000,743650,16026000
Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1;;;,Q16629|SRSF7_HUMAN,DNAJA2,17025000,7249600,25324000,20508000,21362000,21273000,21199000,17525000,32328000,1282600,19869000,12884000,12272000,10665000,43047000,110320,32266000,NA,19215000,NA,10433000,1452500,56411000,25669000,41583000,1268200,13999000,38998000,22534000,2091000,23077000,12613000,21704000
Mitochondrial import inner membrane translocase subunit TIM44 OS=Homo sapiens OX=9606 GN=TIMM44 PE=1 SV=2;;;,O43615|TIM44_HUMAN,AK4,1439200,189010,2502600,NA,2929200,2276000,1801500,1320000,1991900,264810,3113100,1308600,2642700,2285300,24916000,762830,11585000,1842400,2478900,3133600,1891800,0,1317900,1196400,5494000,1848600,834950,2642300,0,678970,1418700,424930,2731900
Mannose-1-phosphate guanyltransferase beta OS=Homo sapiens OX=9606 GN=GMPPB PE=1 SV=2;;,Q9Y5P6|GMPPB_HUMAN,THY1,5018200,1426300,4176700,3082000,4082600,5227900,2866900,2393500,2803900,5604500,3465900,3982900,3199400,3368400,11978000,2815300,17691000,2012500,8736000,5373300,3810500,1569400,3799800,6701500,6800300,1358200,2502100,8304300,NA,5575400,2676800,2645200,8793500
Centrosomal protein of 170 kDa OS=Homo sapiens OX=9606 GN=CEP170 PE=1 SV=1;;,Q5SW79|CE170_HUMAN,SF3A1,2693800,NA,3867500,377410,2188100,1229600,3926400,723660,2485100,659940,3649100,3560600,2222000,NA,3117500,NA,5614400,689060,8585900,34308000,4561000,20541000,2797200,NA,0,53270,940480,NA,NA,10631000,0,6353900,711150
Isocitrate dehydrogenase [NAD] subunit alpha  mitochondrial OS=Homo sapiens OX=9606 GN=IDH3A PE=1 SV=1;;,P50213|IDH3A_HUMAN,DBI,746080,1264100,1572300,1259600,135280,3614000,NA,1728800,NA,387030,688210,975260,237940,2199900,NA,670000,5389800,3137100,8061500,5535100,910930,0,6230000,659170,3590100,NA,1600300,14894000,7684100,375610,8781700,NA,1026100
28 kDa heat- and acid-stable phosphoprotein OS=Homo sapiens OX=9606 GN=PDAP1 PE=1 SV=1;;;,Q13442|HAP28_HUMAN,NACA,14153000,3885200,21065000,8583200,15712000,13849000,12908000,7710800,15367000,7420700,15185000,4100200,9578300,5083300,23912000,NA,27488000,2625400,14184000,4893500,24160000,1401100,27265000,16715000,47594000,3983100,27545000,19103000,10822000,11930000,7899400,2791500,2641400
Glycerol-3-phosphate dehydrogenase  mitochondrial OS=Homo sapiens OX=9606 GN=GPD2 PE=1 SV=3;;,P43304|GPDM_HUMAN,NACA,5695300,269450,13323000,7004800,2847400,8908700,964760,7727700,NA,1390500,4223200,2020400,2202600,NA,2016900,2018500,9745200,7061900,825060,20331000,1192400,18127000,4420200,16348000,1816200,25737000,0,14477000,13450000,1831500,11554000,1280100,6995700
Actin-related protein 10 OS=Homo sapiens OX=9606 GN=ACTR10 PE=1 SV=1;,Q9NZ32|ARP10_HUMAN,GMFB,1973900,375210,2179200,530270,2175600,1662900,843530,1845400,1150300,401550,121270000,461980,657280,1324200,7238700,NA,14155000,2532700,17767000,1848800,818610,0,690790,2473900,6386400,832000,226200,1072700,2039200,1441000,2383900,0,2968500
U1 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA PE=1 SV=3;,P09012|SNRPA_HUMAN,EIF3J,1419900,957550,8687300,1601500,2741700,8986200,1154200,1801300,774410,0,2084600,1148700,145260,1324500,18607000,969460,19468000,8938900,2794300,20034000,16539000,3472600,15684000,18472000,29726000,15383000,2830700,8887900,15973000,8130800,11202000,5132800,11047000
Protein transport protein Sec61 subunit beta OS=Homo sapiens OX=9606 GN=SEC61B PE=1 SV=2;;;,P60468|SC61B_HUMAN,RAB35,4910200,6668300,8096800,8282800,11345000,10280000,10321000,9413500,5828600,7333400,11040000,6126100,16777000,6631300,NA,4221300,28720000,16280000,31378000,51983000,37278000,9219300,69947000,44692000,29244000,5778300,43162000,35251000,36857000,24316000,33263000,14429000,27825000
V-type proton ATPase subunit F OS=Homo sapiens OX=9606 GN=ATP6V1F PE=1 SV=2;;;,Q16864|VATF_HUMAN,TXNDC12,NA,NA,610100,NA,176210,NA,NA,NA,NA,NA,NA,NA,NA,NA,2156300,394170,1618400,NA,2637600,NA,791270,NA,0,NA,4088500,NA,1188700,NA,3610300,0,1762900,456440,0
Acyl-coenzyme A thioesterase 2  mitochondrial OS=Homo sapiens OX=9606 GN=ACOT2 PE=1 SV=6,P49753|ACOT2_HUMAN,RPL27A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226740,NA,4227400,141420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Probable E3 ubiquitin-protein ligase HERC4 OS=Homo sapiens OX=9606 GN=HERC4 PE=1 SV=1;,Q5GLZ8|HERC4_HUMAN,EIF3K,503370,NA,3490800,517810,3051000,1462300,2899500,1641600,NA,730270,3608500,0,NA,514650,12611000,1237900,14611000,2632900,4373900,8276600,3372700,NA,4247300,5376600,2245800,2251600,2330400,1068300,5074700,3562300,7983000,3304300,2418200
Succinate--CoA ligase [ADP/GDP-forming] subunit alpha  mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG1 PE=1 SV=4;;,P53597|SUCA_HUMAN,SULT1A1,763040,5124200,8738500,10803000,5711100,5508000,0,0,NA,984480,13378000,789480,NA,3836000,NA,3176500,24214000,20764000,NA,62452000,NA,NA,12366000,11121000,NA,21982000,1576500,11417000,9798400,NA,26028000,3126700,7542700
Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens OX=9606 GN=ARPC5 PE=1 SV=3;;,O15511|ARPC5_HUMAN,AC020765.6,16722000,8214700,34985000,10286000,25123000,33576000,18991000,12642000,10082000,16448000,15507000,8508600,8798800,11445000,30463000,10964000,37933000,38477000,41654000,68886000,22101000,36597000,88021000,84490000,42513000,67062000,58784000,54685000,58135000,39710000,71288000,34789000,53602000
Myeloid-derived growth factor OS=Homo sapiens OX=9606 GN=MYDGF PE=1 SV=1;;,Q969H8|MYDGF_HUMAN,NDUFA10,35712000,31041000,41870000,39816000,32915000,43503000,55549000,50517000,39592000,32816000,60296000,42157000,46713000,47947000,23712000,15078000,82185000,37153000,39648000,63484000,70353000,40610000,291500000,130350000,234240000,41344000,79565000,130460000,111890000,84267000,110600000,26402000,79485000
Carnitine O-palmitoyltransferase 1  liver isoform OS=Homo sapiens OX=9606 GN=CPT1A PE=1 SV=2;,P50416|CPT1A_HUMAN,PGM2,2135400,1936300,4267200,528930,979280,3039600,2571100,7639700,7049400,5334000,8295900,2622500,2195600,14864000,2131200,1973400,39120000,10043000,2817300,23704000,10349000,8043300,20308000,15401000,17869000,6665400,8264900,15806000,5453600,8298700,12176000,4431600,23041000
